min,avg,max
20720.25,20958.9,21553.8
21074.55,21287.7,21879.45
18693.6,18955.95,19592.7
18782.25,19022.25,19636.8
20308.65,20587.8,21238.5
21132.0,21382.8,22043.1
16404.45,16796.85,17661.45
2056.8,2269.65,2857.35
1806.3,1967.7,2507.7
1960.05,2133.3,2691.15
1818.45,1983.3,2541.3
1729.35,1889.85,2383.65
1620.15,1781.4,2321.1
1701.3,1837.5,2385.45
1604.25,1689.9,2006.25
1526.55,1600.05,1880.7
1490.85,1543.65,1737.3
1510.05,1549.65,1663.05
1520.85,1565.4,1698.15
1521.3,1560.3,1671.0
1528.35,1578.0,1731.3
9575.4,9978.45,10667.85
14913.0,15105.15,15688.8
15420.9,15564.0,16014.3
15861.3,15995.4,16376.7
15852.75,16003.35,16464.9
16048.2,16209.9,16636.5
15940.65,16186.35,16849.2
17002.5,17209.65,17835.9
17247.3,17403.45,17815.05
8929.5,9340.2,9952.65
1349.4,1470.15,1873.2
1625.25,1729.35,2125.95
1746.3,1909.95,2415.0
1839.75,1974.75,2497.05
1857.0,2006.55,2536.2
1893.6,2048.1,2582.7
1798.05,1931.1000000000001,2431.8
1536.0,1651.35,2134.65
1525.5,1607.7,1950.75
1472.7,1515.6,1696.35
1473.3,1516.05,1670.1
1514.85,1535.55,1602.45
1529.1,1563.75,1682.4
1566.3,1622.55,1819.65
1358.25,1452.0,1832.25
1383.3,1465.2,1840.35
1287.0,1364.25,1687.2
1248.15,1358.55,1752.0
1277.25,1392.3,1854.0
1229.4,1430.55,2055.75
1311.0,1469.85,2020.05
1416.9,1608.0,2254.2
1335.75,1524.75,2177.4
1357.05,1541.1,2158.5
1429.2,1612.35,2227.95
1495.35,1684.95,2298.0
1654.5,1837.35,2417.7
1750.95,1942.5,2580.45
1766.85,1960.35,2610.0
1648.35,1828.8,2380.8
1602.0,1716.9,2145.15
1554.9,1663.05,2034.45
1719.3,1793.85,2065.2
1668.0,1711.2,1893.75
1562.85,1605.75,1755.3
1548.75,1574.1,1651.95
1536.15,1572.75,1719.3
1696.35,1753.05,1943.4
17163.15,17529.15,18420.15
21238.5,21520.65,22250.25
22004.1,22240.5,22811.7
21230.1,21631.65,22361.7
21473.25,21896.85,22622.55
21369.45,21754.95,22446.75
21079.65,21460.95,22123.65
22189.8,22586.85,23307.75
22356.15,22683.9,23378.55
17383.35,17891.4,18775.95
1934.55,2194.95,2921.1
1674.6,1861.35,2408.1
1852.35,2058.6,2673.6
1833.9,2048.1,2680.05
1758.45,1966.5,2588.4
1655.25,1855.2,2447.1
1647.6,1766.4,2202.75
1626.75,1734.0,2072.25
1491.6,1564.05,1797.3
1464.3,1528.8,1750.65
1384.95,1434.6,1569.9
1458.9,1512.0,1642.8
1401.45,1453.05,1578.3
1554.45,1650.9,1963.2
14799.3,15236.25,16082.85
19342.35,19635.9,20339.55
20856.75,21076.8,21681.3
21097.05,21337.65,21951.9
21066.15,21284.4,21852.9
21445.05,21735.6,22481.1
20647.8,20937.0,21635.7
20665.95,20959.05,21694.65
20057.55,20312.7,20973.9
13979.1,14344.35,15198.75
1781.55,2034.3,2705.7
1734.45,1908.6,2477.85
1746.9,1915.5,2461.65
1886.85,2043.6,2599.2
1878.45,2046.6,2580.9
1763.55,1899.75,2351.4
1766.25,1880.4,2264.7
1577.55,1733.25,2236.35
1526.1,1660.5,2091.6
1401.6,1466.85,1709.85
1371.45,1406.55,1547.1
1378.95,1411.05,1526.7
1372.95,1402.95,1515.45
1578.9,1613.1,1710.0
1403.7,1470.9,1705.35
1368.15,1453.5,1788.45
1264.8,1346.25,1627.05
1226.1,1301.85,1554.9
1346.25,1476.6,1941.9
1810.8,1971.15,2466.45
1708.05,1884.75,2450.55
1523.1,1720.65,2337.45
1418.55,1600.2,2228.7
1389.15,1545.15,2076.0
1376.55,1544.55,2132.7
1472.1,1606.2,2087.4
1664.25,1817.1,2323.05
1769.1,1968.45,2596.5
1728.6,1926.0,2544.15
1618.65,1797.45,2363.4
1577.25,1735.95,2259.3
1585.2,1668.15,2017.8
1530.75,1604.7,1884.75
1426.95,1483.65,1668.9
1374.9,1408.2,1522.35
1394.55,1424.85,1524.3
1384.35,1412.4,1506.6
1478.7,1525.65,1715.1
10368.3,10736.55,11739.9
22166.85,22401.6,23045.7
22411.65,22629.0,23211.45
22396.2,22666.05,23342.85
22412.4,22670.25,23307.3
22597.5,22866.0,23546.55
22438.65,22705.2,23382.9
22560.15,22798.8,23422.2
22535.85,22785.45,23493.6
21502.8,21941.25,22750.95
2065.8,2277.9,2920.5
1709.85,1880.3999999999999,2502.3
1807.5,1977.6,2532.15
1842.15,2025.3,2585.7
1947.0,2148.45,2746.05
1904.4,2039.1,2529.0
1755.75,1881.45,2365.65
1696.05,1793.85,2135.55
1441.8,1498.2,1721.7
1390.95,1444.2,1632.0
1399.35,1428.15,1532.25
1359.15,1394.25,1513.95
1422.9,1455.0,1553.1
1415.85,1490.85,1721.1
11466.3,11914.95,12804.3
20860.05,21097.05,21756.6
21179.25,21417.6,22029.9
21730.5,21988.5,22602.15
22037.1,22291.2,22919.85
20201.85,20493.75,21209.1
19426.35,19690.5,20376.45
21203.4,21424.2,22006.05
22320.0,22560.15,23133.3
20226.45,20523.6,21199.35
4868.7,5185.95,5983.65
1676.55,1822.2,2312.1
1774.5,1916.55,2368.2
1762.05,1945.5,2525.7
1779.0,1955.55,2545.95
1897.5,2039.25,2563.65
1623.75,1754.1,2207.7
1552.95,1649.4,1987.2
1546.65,1614.15,1881.0
1372.65,1422.75,1590.6
1409.85,1462.05,1672.95
1341.45,1380.75,1525.05
1391.25,1420.65,1530.9
1352.85,1393.95,1556.4
1326.45,1390.2,1634.4
1375.95,1518.45,2058.15
1482.6,1608.75,2090.85
1634.25,1772.4,2245.95
1472.25,1608.3,2050.5
1399.8,1573.95,2105.1
1401.6,1572.3,2107.2
1281.3,1458.0,2029.2
1282.2,1439.85,1986.9
1434.75,1549.05,2008.65
1460.1,1581.45,2032.8
1470.75,1603.35,2083.95
1650.75,1809.45,2316.45
1594.5,1754.7,2313.3
1627.35,1821.45,2468.4
1583.7,1730.25,2272.8
1703.7,1834.35,2343.3
1692.45,1796.4,2228.55
1436.25,1519.5,1879.35
1364.55,1449.3,1763.55
1373.85,1423.35,1617.9
1393.8,1436.85,1580.1
1370.1,1416.0,1570.65
1416.45,1457.85,1620.15
1287.9,1381.95,1729.95
1286.1,1381.05,1776.3
1257.45,1327.95,1614.6
1257.6,1314.75,1549.2
1251.15,1376.1,1835.7
1484.1,1652.55,2235.9
1416.3,1617.75,2220.0
1345.35,1541.7,2120.85
1370.4,1545.6,2155.35
1323.3,1463.25,1965.6000000000001
1294.5,1439.85,1954.2
1462.95,1625.7,2153.55
1761.3,1946.55,2571.9
1817.7,2018.25,2679.0
1785.15,1979.1,2623.5
1632.3,1789.35,2355.3
1685.4,1851.75,2422.05
1602.15,1725.9,2181.0
1667.25,1732.5,1963.35
1617.75,1653.0,1790.7
1622.25,1651.2,1762.65
1559.7,1584.9,1683.6
1486.2,1538.7,1733.7
1652.85,1714.5,1968.9
19816.2,20207.4,21168.3
22189.35,22438.2,23062.8
22113.45,22371.45,22957.35
21896.1,22287.15,23055.75
21782.1,22129.8,22810.05
21369.15,21799.8,22540.05
20851.95,21254.85,21984.3
21769.05,22100.7,22744.95
21973.35,22209.6,22796.1
15769.35,16167.9,17032.5
1903.95,2128.05,2773.65
1644.15,1835.55,2385.75
1821.45,1996.65,2575.5
1950.3,2157.6,2841.75
1948.8,2129.7,2653.05
1832.85,1999.05,2526.0
1802.7,1957.5,2505.15
1746.45,1832.7,2177.7
1603.2,1692.9,2024.25
1582.2,1619.85,1760.55
1505.55,1539.45,1645.95
1488.9,1518.75,1611.0
1470.0,1518.15,1650.0
1468.2,1518.9,1668.9
14675.55,15038.55,15887.4
20858.55,21084.0,21659.4
21550.95,21769.5,22316.85
22172.85,22482.9,23188.35
21947.1,22215.3,22896.15
21693.0,22002.9,22716.6
22322.85,22615.5,23286.45
23179.5,23436.75,24076.8
23091.0,23394.15,24084.0
20376.0,20702.4,21481.65
1908.3,2149.8,2833.2
1744.35,1924.2,2467.35
1821.6,2035.2,2679.15
1889.4,2085.9,2693.55
1940.1,2144.25,2738.85
1755.0,1912.5,2441.85
1767.3,1911.3,2408.85
1683.15,1782.3,2162.7
1658.7,1742.1,2076.15
1465.8,1504.05,1652.7
1351.65,1404.45,1618.35
1380.75,1428.3,1586.7
1346.85,1378.2,1495.05
1455.15,1510.65,1741.65
10765.35,11146.2,11863.8
21169.35,21423.0,22054.8
21574.65,21791.4,22345.95
20808.45,21129.9,21814.35
19944.6,20232.6,20807.25
19521.15,19872.15,20591.4
20647.2,21042.15,21717.9
21188.7,21601.05,22306.95
20691.45,21017.7,21655.65
17034.9,17546.55,18363.45
1864.2,2091.3,2776.05
1691.7,1900.35,2485.8
1870.65,2065.65,2635.35
1888.5,2096.4,2767.8
1943.1,2138.25,2806.2
1753.05,1924.2,2500.65
1803.0,2004.15,2606.1
1737.3,1840.5,2238.75
1700.85,1799.85,2151.9
1431.75,1502.55,1742.7
1355.55,1406.7,1593.15
1454.25,1491.9,1602.75
