Buidling,load,start,end,operating time,
Main Academic Building,227.358,08:00:00,17:00:00
Hostel Building,0.606,17:00:00,08:00:00
Hostel Building,1.414,00:00:00,23:59:59
Main Facilities Equipment and Car park,492.0,08:00:00,17:00:00
Main Facilities Equipment and Car park,7.07,00:00:00,23:59:59
lights1,159.832,08:00:00,17:00:00
lights2,11.9,08:00:00,17:00:00
