index,DateTime,min,max,avg
118,2024-05-13 12:47:20,344.1,355.95,346.8
119,2024-05-13 13:47:20,338.1,351.0,343.05
120,2024-05-13 14:47:20,370.05,381.0,373.2
121,2024-05-13 15:47:20,372.9,385.35,376.8
122,2024-05-13 16:47:20,330.0,344.1,333.45
123,2024-05-13 17:47:20,24.9,39.15,26.85
124,2024-05-13 18:47:20,24.15,26.55,24.9
125,2024-05-13 19:47:20,28.65,39.45,31.2
126,2024-05-13 20:47:20,25.95,30.45,26.25
127,2024-05-13 21:47:20,28.5,29.25,28.65
128,2024-05-13 22:47:20,29.25,30.0,29.55
129,2024-05-13 23:47:20,26.4,30.0,26.85
130,2024-05-14 00:47:20,23.4,33.6,24.0
131,2024-05-14 01:47:20,22.95,37.65,26.85
132,2024-05-14 02:47:20,25.95,26.4,25.95
133,2024-05-14 03:47:20,25.8,36.3,26.55
134,2024-05-14 04:47:20,25.65,26.25,25.8
135,2024-05-14 05:47:20,25.05,25.95,25.5
136,2024-05-14 06:47:20,25.65,37.35,28.35
137,2024-05-14 07:47:20,350.85,366.0,354.3
138,2024-05-14 08:47:20,341.85,350.85,343.05
139,2024-05-14 09:47:20,358.65,363.9,360.3
140,2024-05-14 10:47:20,347.85,370.2,356.55
141,2024-05-14 11:47:20,330.15,354.6,336.3
142,2024-05-14 12:47:20,322.05,332.55,325.65
143,2024-05-14 13:47:20,324.6,337.95,328.2
144,2024-05-14 14:47:20,329.7,347.25,335.55
145,2024-05-14 15:47:20,334.35,348.3,339.75
146,2024-05-14 16:47:20,314.7,329.85,319.05
147,2024-05-14 17:47:20,24.75,45.3,33.45
148,2024-05-14 18:47:20,21.45,35.25,24.15
149,2024-05-14 19:47:20,27.0,28.35,27.3
150,2024-05-14 20:47:20,25.2,32.1,25.65
151,2024-05-14 21:47:20,30.45,31.95,30.75
152,2024-05-14 22:47:20,30.3,32.7,30.6
153,2024-05-14 23:47:20,25.8,26.85,26.1
154,2024-05-15 00:47:20,26.7,27.6,26.85
155,2024-05-15 01:47:20,27.9,34.95,28.5
156,2024-05-15 02:47:20,27.6,28.65,28.05
157,2024-05-15 03:47:20,30.0,31.05,30.15
158,2024-05-15 04:47:20,24.75,26.1,24.9
159,2024-05-15 05:47:20,25.35,27.0,25.95
160,2024-05-15 06:47:20,26.85,38.25,29.7
161,2024-05-15 07:47:20,357.6,368.25,360.45
162,2024-05-15 08:47:20,372.15,384.0,375.9
163,2024-05-15 09:47:20,364.05,371.7,365.7
164,2024-05-15 10:47:20,360.45,374.85,364.05
165,2024-05-15 11:47:20,359.85,372.9,363.9
166,2024-05-15 12:47:20,363.9,377.55,366.15
167,2024-05-15 13:47:20,360.9,377.85,365.25
168,2024-05-15 14:47:20,366.75,380.85,372.6
169,2024-05-15 15:47:20,363.9,367.5,365.25
170,2024-05-15 16:47:20,39.0,63.0,44.25
171,2024-05-15 17:47:20,28.65,41.7,31.2
172,2024-05-15 18:47:20,30.15,39.6,31.8
173,2024-05-15 19:47:20,31.8,53.7,37.8
174,2024-05-15 20:47:20,30.45,43.65,33.75
175,2024-05-15 21:47:20,26.7,40.5,27.9
176,2024-05-15 22:47:20,28.95,31.35,30.0
177,2024-05-15 23:47:20,25.65,43.35,31.8
178,2024-05-16 00:47:20,25.8,39.6,28.35
